Date_time,consumption,precipitation,temperature,irradiance_surface,irradiance_toa,snowfall,snow_mass,cloud_cover,air_density
01/01/2016 00:00,26277.24,0.165,-4.499,0,0,0.1299,5.9283,0.6064,1.2168
01/01/2016 01:00,24991.82,0.1963,-4.53,0,0,0.1561,6.0736,0.618,1.2169
01/01/2016 02:00,23532.61,0.2221,-4.565,0,0,0.1669,6.2394,0.6026,1.2172
01/01/2016 03:00,22464.78,0.233,-4.638,0,0,0.1746,6.4167,0.6008,1.2178
01/01/2016 04:00,22002.91,0.242,-4.712,0.6591,3.9942,0.2111,6.6144,0.5979,1.2186
01/01/2016 05:00,21957.08,0.2458,-4.588,25.187,92.0358,0.2262,6.8319,0.5696,1.2193
01/01/2016 06:00,22203.54,0.2372,-3.654,113.3641,295.456,0.2181,7.0471,0.5589,1.2185
01/01/2016 07:00,21844.16,0.2317,-2.725,205.37,469.6375,0.2102,7.242,0.5638,1.2166
01/01/2016 08:00,23094.73,0.2298,-2.125,264.1535,587.9892,0.2002,7.4098,0.5746,1.215
01/01/2016 09:00,25202.27,0.2143,-1.75,290.8132,642.4158,0.1831,7.5519,0.5759,1.2133
01/01/2016 10:00,27224.96,0.2031,-1.496,285.918,629.2447,0.1692,7.6783,0.5651,1.2117
01/01/2016 11:00,28908.04,0.1905,-1.391,247.9589,549.385,0.161,7.8014,0.5506,1.2105
01/01/2016 12:00,28789.25,0.1685,-1.54,180.0747,408.2219,0.1453,7.9259,0.5327,1.2101
01/01/2016 13:00,29367.7,0.1408,-2.107,90.5674,215.8064,0.1233,8.0478,0.5058,1.2106
01/01/2016 14:00,29548.32,0.1141,-3.354,12.6925,33.7799,0.102,8.1593,0.4704,1.212
01/01/2016 15:00,29390.89,0.0961,-4.129,0,0,0.0868,8.255,0.4187,1.2137
01/01/2016 16:00,30734.97,0.0809,-4.565,0,0,0.0739,8.3365,0.376,1.2154
01/01/2016 17:00,32048.02,0.064,-4.984,0,0,0.0593,8.4038,0.3384,1.2169
01/01/2016 18:00,31438.11,0.1076,-5.377,0,0,0.101,8.4886,0.2997,1.2183
01/01/2016 19:00,30728.47,0.0772,-5.712,0,0,0.0708,8.5753,0.2789,1.2195
01/01/2016 20:00,30166.14,0.0608,-6.004,0,0,0.054,8.6395,0.2675,1.2207
